English,Japanese
people,人々
time,時間
year,年
thing,事
way,道
day,日
man,男
state,状態
lot,たくさん
woman,女
country,国
life,生活
question,質問
president,社長
child,子供
week,1週間
world,世界
kind,種類
case,ケース
problem,問題
fact,事実
family,家族
story,ストーリー
point,ポイント
government,政府
money,お金
issue,問題
part,一部
morning,朝
guy,男
number,数
job,仕事
night,夜
right,右
school,学校
place,場所
war,戦争
kid,キッド
month,月
book,ブック
hour,1時間
show,ショー
police,警察
program,プログラム
party,パーティー
law,法律
word,単語
person,人
home,ホーム
business,ビジネス
friend,友人
company,会社
side,サイド
tax,税
democrat,民主党
group,グループ
moment,瞬間
break,ブレーク
idea,アイデア
member,メンバー
system,システム
minute,分
reason,理由
campaign,キャンペーン
work,仕事
nation,国家
congress,議会
mother,母親
force,力
health,健康
back,バック
area,エリア
name,名前
report,レポート
hand,手
line,ライン
end,終わり
court,裁判所
care,介護
couple,カップル
house,家
american,アメリカン
father,父
situation,状況
car,車
parent,親
administration,管理
drug,薬
city,街
sense,感覚
policy,ポリシー
office,オフィス
decision,決定
power,パワー
plan,計画
leader,リーダー
information,情報
election,選挙
movie,映画
death,死
air,空気
call,コー​​ル
community,コミュニティ
look,外観
evidence,証拠
girl,女の子
doctor,医者
vote,投票
video,ビデオ
picture,絵
room,部屋
bit,ビット
economy,経済
phone,電話
history,歴史
sort,ソート
boy,少年
crime,犯罪
process,プロセス
wife,妻
music,音楽
water,水
service,サービス
record,記録
security,セキュリティ
talk,トーク
mind,心
head,頭
candidate,候補者
official,公式
camera,カメラ
student,学生
attack,攻撃
chance,チャンス
game,ゲーム
baby,赤ちゃん
south,南
change,変更
trial,トライアル
body,ボディ
market,市場
stuff,スタッフ
interest,関心
weapon,武器
heart,心
son,息子
team,チーム
town,町
television,テレビ
will,意志
troop,軍隊
judge,裁判官
action,アクション
answer,答え
position,ポジション
view,ビュー
difference,違い
food,食べ物
daughter,娘
race,レース
deal,取引
street,ストリート
price,価格
message,メッセージ
control,コントロール
debate,ディベート
officer,役員
film,フィルム
level,レベル
effort,努力
relationship,関係
correspondent,特派員
ground,地面
piece,作品
husband,夫
budget,予算
jury,陪審
reporter,レポーター
weekend,週末
matter,問題
age,年齢
gun,銃
peace,平和
murder,殺人
role,役割
investigation,調査
experience,経験
hospital,病院
eye,目
director,ディレクター
future,未来
face,顔
oil,オイル
result,結果
public,公共
lawyer,弁護士
poll,世論調査
second,第2
opportunity,チャンス
industry,産業
brother,兄
statement,声明
fire,火災
love,愛
rate,レート
effect,効果
song,歌
event,イベント
charge,担当
support,サポート
radio,ラジオ
building,建物
bank,銀行
victim,犠牲者
door,ドア
interview,インタビュー
scene,シーン
rest,残り
press,プレス
